MIM_Raw,Title,Comparison_Status,Old_Rank_200_export,New_Rank_1000_export,Rank_Shift_New_Minus_Old,Field_Values_Changed
*184756,STEROL REGULATORY ELEMENT-BINDING TRANSCRIPTION FACTOR 1; SREBF1,New_due_to_higher_export_limit,,225,,false
*616495,ADP-RIBOSYLATION FACTOR-LIKE GTPase 6-INTERACTING PROTEIN 6; ARL6IP6,New_due_to_higher_export_limit,,226,,false
*602055,INSULIN-INDUCED GENE 1; INSIG1,New_due_to_higher_export_limit,,227,,false
*191191,"TUMOR NECROSIS FACTOR RECEPTOR SUBFAMILY, MEMBER 1B; TNFRSF1B",New_due_to_higher_export_limit,,228,,false
#618463,"HYPOALPHALIPOPROTEINEMIA, PRIMARY, 2",New_due_to_higher_export_limit,,229,,false
#143470,HYPERALPHALIPOPROTEINEMIA 1; HALP1,New_due_to_higher_export_limit,,230,,false
#617159,SIFRIM-HITZ-WEISS SYNDROME; SIHIWES,New_due_to_higher_export_limit,,231,,false
#618807,LIPOPROTEIN(a) QUANTITATIVE TRAIT LOCUS; LPAQTL,New_due_to_higher_export_limit,,232,,false
%608583,"ATRIAL FIBRILLATION, FAMILIAL, 1; ATFB1",New_due_to_higher_export_limit,,233,,false
*600958,"MYOSIN-BINDING PROTEIN C, CARDIAC; MYBPC3",New_due_to_higher_export_limit,,234,,false
*611795,MICRO RNA 145; MIR145,New_due_to_higher_export_limit,,235,,false
*300644,"GALACTOSIDASE, ALPHA; GLA",New_due_to_higher_export_limit,,236,,false
#133780,EXUDATIVE VITREORETINOPATHY 1; EVR1,New_due_to_higher_export_limit,,237,,false
#141500,"MIGRAINE, FAMILIAL HEMIPLEGIC, 1; FHM1",New_due_to_higher_export_limit,,238,,false
#300653,PHOSPHOGLYCERATE KINASE 1 DEFICIENCY,New_due_to_higher_export_limit,,239,,false
#300845,"MOYAMOYA DISEASE 4 WITH SHORT STATURE, HYPERGONADOTROPIC HYPOGONADISM, AND FACIAL DYSMORPHISM; MYMY4",New_due_to_higher_export_limit,,240,,false
#301054,VEXAS SYNDROME; VEXAS,New_due_to_higher_export_limit,,241,,false
*120360,MATRIX METALLOPROTEINASE 2; MMP2,New_due_to_higher_export_limit,,242,,false
*188060,THROMBOSPONDIN I; THBS1,New_due_to_higher_export_limit,,243,,false
*620997,SEMAPHORIN 3G; SEMA3G,New_due_to_higher_export_limit,,244,,false
#215700,"CITRULLINEMIA, CLASSIC",New_due_to_higher_export_limit,,245,,false
#237300,"CARBAMOYL PHOSPHATE SYNTHETASE I DEFICIENCY, HYPERAMMONEMIA DUE TO",New_due_to_higher_export_limit,,246,,false
*590070,"TRANSFER RNA, MITOCHONDRIAL, PHENYLALANINE; MTTF",New_due_to_higher_export_limit,,247,,false
*107280,"SERPIN PEPTIDASE INHIBITOR, CLADE A, MEMBER 3; SERPINA3",New_due_to_higher_export_limit,,248,,false
*609422,MICRO RNA 92A1; MIR92A1,New_due_to_higher_export_limit,,249,,false
*135600,FIBRONECTIN 1; FN1,New_due_to_higher_export_limit,,250,,false
*138140,"SOLUTE CARRIER FAMILY 2 (FACILITATED GLUCOSE TRANSPORTER), MEMBER 1; SLC2A1",New_due_to_higher_export_limit,,251,,false
*607667,"CATENIN, ALPHA-3; CTNNA3",New_due_to_higher_export_limit,,252,,false
*168820,PARAOXONASE 1; PON1,New_due_to_higher_export_limit,,253,,false
*171050,"ATP-BINDING CASSETTE, SUBFAMILY B, MEMBER 1; ABCB1",New_due_to_higher_export_limit,,254,,false
#263300,POLYCYTHEMIA VERA; PV,New_due_to_higher_export_limit,,255,,false
*185430,CLUSTERIN; CLU,New_due_to_higher_export_limit,,256,,false
